Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\CronScheduler.AspNetCore\CronScheduler.AspNetCore.csproj,File,src\CronScheduler.AspNetCore\CronScheduler.AspNetCore.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CronScheduler.AspNetCore\CronScheduler.AspNetCore.csproj,File,src\CronScheduler.AspNetCore\CronScheduler.AspNetCore.csproj,,,,,,,,Current target framework: netstandard2.0;net8.0 Recommended target framework: netstandard2.0;net8.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\CronScheduler.AspNetCore\CronScheduler.AspNetCore.csproj,File,src\CronScheduler.AspNetCore\DependencyInjection\StartupJobWebHostExtensions.cs,17,4,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,"public static async Task RunStartupJobsAsync(this IWebHost host, CancellationToken cancellationToken = default)"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.1,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.1  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,Microsoft.Extensions.Hosting.Abstractions 8.0.1,,,,,"Microsoft.Extensions.Hosting.Abstractions, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,Microsoft.Extensions.Logging.Abstractions 8.0.3,,,,,"Microsoft.Extensions.Logging.Abstractions, 8.0.3  Recommendation:  Remove Microsoft.Extensions.Logging.Abstractions, and replace with new package Microsoft.Extensions.Logging.Abstractions 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 8.0.0,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 10.0.11"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,,,,,,,,Current target framework: netstandard2.0;net8.0 Recommended target framework: netstandard2.0;net8.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\DependencyInjection\BackgroundQueuedServiceCollectionExtensions.cs,23,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,applicationOnStopTimeoutWait = applicationOnStopTimeoutWait == default ? TimeSpan.FromSeconds(10) : applicationOnStopTimeoutWait;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\CronScheduler.Extensions\CronScheduler.Extensions.csproj,File,src\CronScheduler.Extensions\Internal\SchedulerHostedService.cs,36,12,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(1), stoppingToken);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,,,Microsoft.AspNetCore.TestHost 8.0.30,,,,,"Microsoft.AspNetCore.TestHost, 8.0.30  Recommendation:  Remove Microsoft.AspNetCore.TestHost, and replace with new package Microsoft.AspNetCore.TestHost 10.0.11"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,54,4,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,"private static IWebHost CreateHost(Action<IServiceCollection> configureServices, bool validateScopes = false)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,56,8,T:Microsoft.AspNetCore.Hosting.WebHostBuilder,,,,,return new WebHostBuilder()                  .UseStartup<TestStartup>()                  .ConfigureServices(configureServices)                  .UseDefaultServiceProvider(options => options.ValidateScopes = validateScopes)                  .Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,56,8,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,return new WebHostBuilder()                  .UseStartup<TestStartup>()                  .ConfigureServices(configureServices)                  .UseDefaultServiceProvider(options => options.ValidateScopes = validateScopes)                  .Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,47,8,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,var host = CreateHost(services => services.AddStartupJobInitializer(CompletedTask));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,28,8,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,var host = builder.Build();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,test\CronScheduler.UnitTest\CronScheduler.UnitTest.csproj,File,test\CronScheduler.UnitTest\StartupJobFuncTests.cs,19,8,T:Microsoft.AspNetCore.WebHost,,,,,var builder = WebHost.CreateDefaultBuilder()             .UseStartup<TestStartup>()             .ConfigureServices(services =>             {                 services.AddLogging();                 services.AddStartupJob<TestStartupJob>();             })             .UseDefaultServiceProvider(options => options.ValidateScopes = false);
